date,facility_id,patients_in,patients_out,beds_occupied,beds_available,ambulances_used,doctors_available,staff_available
2023-05-10,FAC0284,19,10,196,19,0,3,11
2024-02-16,FAC0288,3,0,8,15,0,5,6
2023-09-09,FAC0087,1,1,15,2,0,5,13
2024-03-19,FAC0090,4,1,10,20,0,6,16
2024-01-31,FAC0292,2,1,16,7,1,6,10
2024-06-17,FAC0193,2,1,22,2,1,6,9
2023-02-18,FAC0080,0,0,8,6,0,5,14
2023-01-19,FAC0034,0,0,7,3,1,5,13
2023-12-13,FAC0292,1,1,20,3,1,7,14
2024-04-06,FAC0020,3,2,18,2,1,2,10
2023-04-13,FAC0179,1,1,23,20,0,7,10
2023-01-22,FAC0102,1,1,6,7,0,4,12
2024-07-27,FAC0194,0,3,36,11,0,5,20
2023-05-20,FAC0033,7,4,33,29,1,3,17
2024-02-17,FAC0077,0,1,8,2,0,8,17
2023-02-05,FAC0256,3,0,24,4,0,8,14
2024-08-09,FAC0215,4,2,24,16,1,4,19
2023-06-05,FAC0153,5,1,16,20,0,2,12
2023-04-15,FAC0213,4,2,9,18,0,8,17
2024-08-11,FAC0053,2,1,11,4,0,5,14
2024-12-25,FAC0082,3,1,17,6,1,6,15
2023-08-31,FAC0230,2,2,28,7,0,3,20
2023-10-16,FAC0119,5,4,24,13,1,2,17
2024-04-14,FAC0300,3,1,7,17,0,2,9
2023-12-24,FAC0018,0,0,8,3,1,4,15
2023-07-05,FAC0173,3,0,20,2,1,3,11
2023-07-24,FAC0058,2,0,10,5,1,2,5
2024-02-24,FAC0006,8,28,217,27,7,5,17
2024-06-14,FAC0147,1,4,21,20,4,4,15
2024-11-16,FAC0164,1,0,6,8,1,3,12
2023-02-02,FAC0162,7,6,22,38,0,8,16
2023-11-04,FAC0040,2,0,9,7,1,6,7
2024-08-09,FAC0223,0,1,25,7,1,4,9
2024-05-11,FAC0017,29,19,186,229,1,4,14
2023-12-28,FAC0134,2,2,17,6,1,3,8
2023-03-26,FAC0205,7,6,60,22,4,8,9
2023-12-31,FAC0144,3,0,17,11,2,7,10
2023-01-11,FAC0117,1,0,15,3,2,6,13
2023-05-29,FAC0123,4,0,12,29,1,2,6
2024-02-13,FAC0267,9,1,26,54,1,7,8
2024-07-19,FAC0291,3,4,23,15,0,3,19
2023-10-05,FAC0026,0,0,9,4,1,6,14
2024-01-24,FAC0207,5,4,16,19,1,8,10
2024-03-09,FAC0031,18,45,131,260,6,2,11
2024-10-17,FAC0059,2,0,14,22,1,5,9
2024-05-08,FAC0169,9,0,54,33,1,5,15
2024-07-01,FAC0193,2,2,11,13,1,8,7
2024-09-03,FAC0228,0,1,21,3,1,5,13
2024-02-13,FAC0047,0,0,2,4,0,4,10
2024-01-28,FAC0036,1,1,11,5,1,5,6
2024-04-23,FAC0151,9,5,50,16,4,3,12
2023-11-19,FAC0163,3,2,23,6,0,5,13
2024-05-11,FAC0223,1,1,11,21,2,5,14
2024-09-15,FAC0262,1,1,10,12,0,3,14
2023-12-08,FAC0084,3,0,26,5,2,5,4
2023-07-14,FAC0149,1,0,10,2,2,3,22
2023-11-17,FAC0114,2,2,14,22,0,3,14
2024-10-19,FAC0033,6,0,22,40,0,2,16
2023-05-19,FAC0285,9,14,159,211,0,5,14
2023-12-26,FAC0247,0,1,5,7,1,2,14
2024-06-22,FAC0089,2,4,34,27,0,4,12
2023-06-15,FAC0063,3,1,11,21,0,4,11
2024-10-05,FAC0032,0,0,10,3,0,10,12
2024-08-31,FAC0109,1,0,7,17,0,4,7
2023-04-24,FAC0096,1,1,17,17,0,4,6
2023-11-28,FAC0158,3,50,256,191,4,1,5
2024-09-27,FAC0012,1,0,6,4,0,6,21
2024-02-07,FAC0068,4,1,17,10,0,5,12
2023-02-03,FAC0255,4,2,32,5,0,5,9
2023-01-06,FAC0191,6,3,28,21,0,4,13
2023-08-30,FAC0286,2,2,7,11,1,1,13
2024-04-29,FAC0290,3,0,24,5,0,10,9
2023-02-16,FAC0210,3,0,25,25,0,5,11
2024-07-11,FAC0099,6,2,40,19,0,3,6
2023-03-01,FAC0100,2,19,223,53,3,4,21
2023-08-31,FAC0244,0,1,3,8,1,6,19
2023-02-28,FAC0103,8,0,20,39,2,4,8
2024-05-07,FAC0032,1,0,7,6,1,6,11
2024-10-30,FAC0051,6,22,425,55,6,8,7
2023-03-02,FAC0246,2,2,21,38,1,3,11
2023-08-30,FAC0284,6,16,83,132,6,1,15
2023-11-19,FAC0227,27,44,309,143,3,6,11
2023-02-07,FAC0071,0,0,5,6,1,3,10
2023-10-20,FAC0037,2,3,69,102,0,7,10
2024-12-08,FAC0212,5,0,24,31,0,7,19
2023-02-07,FAC0210,7,4,33,17,1,4,11
2024-11-08,FAC0045,0,2,12,25,2,8,16
2023-10-15,FAC0100,28,3,165,111,6,8,19
2023-12-25,FAC0064,2,2,55,21,0,4,9
2023-06-12,FAC0017,55,7,298,117,0,2,21
2024-02-19,FAC0020,3,0,11,9,1,3,5
2023-10-31,FAC0079,0,2,10,7,1,7,22
2024-10-18,FAC0247,0,1,11,1,1,4,14
2023-12-14,FAC0199,4,0,12,19,2,3,14
2023-02-07,FAC0228,3,1,12,12,0,6,20
2023-11-03,FAC0031,6,45,215,176,3,3,10
2023-07-20,FAC0028,4,0,22,24,2,9,19
2024-05-07,FAC0123,6,2,14,27,0,4,5
2024-12-10,FAC0266,13,2,86,10,1,7,10
2023-07-24,FAC0273,3,3,19,12,1,6,6
2023-12-24,FAC0279,0,9,60,38,2,3,8
2024-08-11,FAC0125,2,2,12,11,0,6,11
2023-09-07,FAC0292,3,0,13,10,1,3,8
2024-02-20,FAC0140,0,1,22,10,0,8,11
2024-03-06,FAC0180,26,6,129,49,1,3,17
2023-07-30,FAC0189,2,0,12,2,1,6,11
2023-01-14,FAC0291,4,2,22,16,1,6,16
2024-07-15,FAC0138,0,0,4,5,0,6,10
2024-02-24,FAC0029,0,0,17,2,1,4,16
2024-03-17,FAC0211,1,1,4,8,1,8,11
2024-11-08,FAC0161,1,0,6,5,2,5,8
2023-11-13,FAC0186,2,1,9,7,2,8,11
2023-07-26,FAC0107,11,7,29,47,2,3,14
2024-08-26,FAC0027,47,15,248,106,1,3,9
2024-05-17,FAC0147,6,1,17,24,2,4,7
2024-02-17,FAC0082,2,0,13,10,0,3,16
2024-09-18,FAC0081,1,4,32,6,0,6,7
2024-11-03,FAC0161,0,1,4,7,0,4,13
2023-03-10,FAC0081,1,4,13,25,1,4,7
2024-05-18,FAC0288,3,2,21,2,0,3,9
2024-10-23,FAC0245,4,5,28,16,2,1,23
2023-10-20,FAC0131,2,3,19,22,2,4,11
2023-12-03,FAC0025,3,3,16,10,0,3,13
2023-04-04,FAC0235,2,0,19,12,2,6,5
2024-11-13,FAC0198,2,1,13,5,1,4,11
2023-09-07,FAC0280,19,6,312,122,0,2,18
2023-06-23,FAC0234,1,0,5,6,0,2,7
2024-12-17,FAC0258,4,2,41,15,0,7,8
2023-07-18,FAC0026,0,0,10,3,2,4,11
2023-09-15,FAC0032,0,1,8,5,1,7,7
2024-05-02,FAC0220,12,3,225,20,1,2,10
2023-10-09,FAC0195,2,1,4,10,1,3,11
2023-01-15,FAC0272,0,2,10,12,0,7,10
2024-07-15,FAC0298,0,1,15,4,1,2,17
2023-08-19,FAC0087,1,1,9,8,0,6,15
2023-06-14,FAC0041,1,1,4,4,1,5,10
2023-07-29,FAC0124,30,24,78,182,8,3,22
2024-11-15,FAC0249,3,2,18,12,0,4,13
2024-01-04,FAC0037,25,2,112,59,2,6,18
2023-05-06,FAC0141,5,4,45,4,0,4,16
2023-03-04,FAC0167,2,4,40,24,0,2,7
2023-12-04,FAC0132,3,0,16,13,0,5,6
2023-07-12,FAC0104,2,0,29,13,0,10,6
2024-04-06,FAC0161,0,0,5,6,1,6,14
2024-04-02,FAC0198,2,1,10,8,1,3,7
2023-08-01,FAC0196,2,1,18,11,0,7,13
2024-12-15,FAC0118,4,0,34,4,0,4,13
2023-06-26,FAC0009,1,3,9,21,0,4,20
2023-01-27,FAC0207,0,1,21,14,1,7,7
2023-03-11,FAC0235,4,2,12,19,0,5,8
2023-04-07,FAC0032,1,0,5,8,0,9,7
2023-08-06,FAC0191,0,2,29,20,0,3,6
2023-03-26,FAC0204,1,1,4,2,0,5,14
2023-09-25,FAC0134,3,1,14,9,0,3,8
2023-04-23,FAC0257,0,1,11,12,1,3,12
2023-10-04,FAC0203,7,5,90,8,1,10,16
2023-03-17,FAC0106,2,3,13,27,1,6,10
2023-02-05,FAC0013,1,2,15,6,0,5,15
2023-12-25,FAC0293,3,0,9,15,0,5,14
2024-05-10,FAC0148,1,0,3,8,1,5,9
2023-06-13,FAC0153,4,3,30,6,1,1,9
2024-04-19,FAC0124,28,3,177,83,2,2,17
2024-11-01,FAC0296,3,13,216,183,3,5,16
2024-05-19,FAC0030,1,1,7,7,1,3,12
2023-08-07,FAC0187,15,27,109,236,3,9,12
2023-02-11,FAC0187,21,19,269,76,2,7,8
2023-06-08,FAC0204,0,1,4,2,0,5,18
2024-04-21,FAC0004,0,2,14,10,0,5,27
2024-01-20,FAC0262,0,0,9,13,1,4,7
2024-04-01,FAC0031,29,29,138,253,3,1,9
2024-10-24,FAC0066,11,28,178,184,7,4,9
2024-05-23,FAC0026,0,1,7,6,2,5,7
2024-02-29,FAC0166,0,2,7,10,0,4,18
2023-04-25,FAC0120,13,11,45,69,1,2,10
2023-09-04,FAC0044,4,3,31,5,2,6,22
2023-11-09,FAC0125,1,2,13,10,1,8,8
2023-03-20,FAC0139,2,6,30,41,2,4,14
2023-06-09,FAC0262,1,2,18,4,0,6,8
2023-12-24,FAC0291,2,4,13,25,0,4,13
2023-08-06,FAC0149,1,0,10,2,2,3,25
2023-08-02,FAC0291,2,0,23,15,1,5,13
2024-07-04,FAC0189,1,1,11,3,0,4,9
2024-01-04,FAC0094,8,2,41,16,0,4,12
2023-03-27,FAC0124,4,31,167,93,7,3,14
2023-01-05,FAC0196,3,2,26,3,0,6,18
2024-02-04,FAC0025,0,1,19,7,1,2,19
2024-08-21,FAC0190,2,4,44,37,2,10,14
2023-03-25,FAC0165,29,26,232,60,0,1,8
2023-03-13,FAC0176,1,3,16,9,1,8,8
2023-07-30,FAC0035,0,0,13,9,0,7,11
2023-09-11,FAC0054,40,58,227,261,5,5,21
2024-10-28,FAC0222,8,1,33,26,3,3,15
2024-03-11,FAC0084,1,3,25,6,2,5,6
2023-04-07,FAC0079,0,2,8,9,0,10,23
2023-09-13,FAC0065,12,5,66,19,2,5,12
2023-01-07,FAC0112,3,2,8,15,1,2,15
2023-08-11,FAC0024,0,0,11,2,2,3,21
2024-03-25,FAC0186,2,0,11,5,1,7,11
2023-03-28,FAC0084,0,0,27,4,1,4,9
2023-06-29,FAC0244,1,1,7,4,1,6,11
2024-03-13,FAC0290,4,2,15,14,1,10,8
2023-11-29,FAC0209,1,3,15,10,1,6,13
2024-10-19,FAC0299,3,3,10,19,0,4,15
2024-05-31,FAC0037,23,16,140,31,4,10,11
2024-12-13,FAC0122,1,1,8,7,1,2,11
2024-09-25,FAC0031,18,1,141,250,5,3,15
2023-12-17,FAC0233,1,0,2,6,1,11,16
2023-06-22,FAC0033,3,0,58,4,0,5,17
2024-10-07,FAC0276,3,2,16,17,1,4,8
2023-05-03,FAC0261,4,0,25,10,1,5,10
2023-01-20,FAC0153,4,0,33,3,4,3,10
2023-02-18,FAC0214,2,1,11,8,0,4,8
2024-03-27,FAC0088,1,0,23,16,0,10,9
2023-04-23,FAC0125,2,1,14,9,2,8,14
2023-10-10,FAC0290,0,2,23,6,1,7,13
2024-04-17,FAC0223,2,2,26,6,2,4,11
2024-08-31,FAC0282,4,4,30,5,0,3,17
2023-08-12,FAC0061,6,2,39,5,2,6,16
2024-02-10,FAC0129,3,1,32,8,0,4,20
2024-09-17,FAC0091,1,1,13,25,1,8,14
2023-08-21,FAC0012,0,1,7,3,1,3,14
2023-05-26,FAC0119,1,1,29,8,1,2,17
2024-01-10,FAC0203,11,6,45,53,3,7,12
2023-10-02,FAC0267,7,4,25,55,1,7,9
2023-05-04,FAC0285,52,18,187,183,2,6,11
2023-01-13,FAC0028,1,3,22,24,2,8,13
2023-04-02,FAC0054,67,20,306,182,5,4,14
2024-09-25,FAC0125,0,2,17,6,0,8,7
2024-02-14,FAC0273,4,1,20,11,1,5,4
2024-11-16,FAC0238,6,4,24,53,2,5,13
2023-07-04,FAC0134,2,0,11,12,1,3,7
2023-05-31,FAC0265,2,2,21,8,0,3,6
2023-11-29,FAC0286,0,1,11,7,1,3,10
2023-11-18,FAC0001,1,2,11,13,0,6,7
2023-04-15,FAC0167,1,1,29,35,1,2,7
2023-02-23,FAC0203,13,1,31,67,1,10,15
2024-09-29,FAC0114,4,1,24,12,1,6,19
2023-01-22,FAC0028,0,2,25,21,1,10,18
2024-12-31,FAC0163,0,0,14,15,0,4,12
2023-01-22,FAC0038,0,3,20,44,1,4,16
2023-12-13,FAC0152,35,32,201,74,2,5,16
2024-03-18,FAC0251,0,0,21,3,1,10,13
2024-07-28,FAC0116,14,9,121,57,0,5,10
2023-01-21,FAC0227,4,4,375,77,4,7,12
2024-07-16,FAC0166,1,1,8,9,0,5,16
2024-12-29,FAC0011,0,0,16,3,0,7,10
2024-09-03,FAC0143,3,5,81,13,1,5,9
2024-08-28,FAC0166,0,0,15,2,0,3,16
2023-03-28,FAC0134,2,2,8,15,1,1,9
2023-06-04,FAC0056,1,1,12,16,0,6,10
2024-12-02,FAC0207,2,1,24,11,0,4,8
2023-10-10,FAC0016,1,2,15,3,0,4,12
2024-02-11,FAC0236,4,2,22,6,0,1,14
2024-02-08,FAC0244,1,1,4,7,1,8,13
2024-04-08,FAC0249,1,0,23,7,1,2,20
2024-06-13,FAC0137,2,0,8,13,0,3,9
2023-10-24,FAC0131,5,0,26,15,1,3,11
2024-06-13,FAC0039,0,0,9,21,1,4,11
2024-05-21,FAC0276,4,2,27,6,0,4,12
2023-09-20,FAC0243,24,25,134,159,2,7,15
2023-03-04,FAC0291,1,2,18,20,0,6,13
2023-09-19,FAC0153,2,3,13,23,3,2,13
2024-12-03,FAC0032,0,0,11,2,0,12,13
2024-12-01,FAC0155,2,2,42,21,0,6,13
2023-01-19,FAC0100,29,21,131,145,2,4,19
2024-10-18,FAC0088,3,4,15,24,0,7,7
2023-08-10,FAC0289,4,5,17,29,0,4,13
2023-04-07,FAC0088,1,4,21,18,1,7,12
2024-10-31,FAC0280,12,23,347,87,1,3,10
2024-05-04,FAC0173,3,0,13,9,1,4,13
2023-08-05,FAC0055,43,11,164,268,0,8,14
2024-02-28,FAC0158,50,21,140,307,4,2,6
2024-08-24,FAC0252,9,4,46,50,2,6,13
2024-12-10,FAC0248,7,6,33,34,0,7,6
2023-12-22,FAC0027,1,35,164,190,2,6,10
2023-10-15,FAC0136,1,4,30,5,0,3,14
2024-03-29,FAC0026,1,0,5,8,2,8,13
2024-04-30,FAC0042,2,0,7,15,1,2,10
2024-06-08,FAC0264,7,3,35,38,2,4,18
2023-09-05,FAC0114,5,2,19,17,1,6,9
2023-03-06,FAC0235,3,2,25,6,2,4,7
2023-07-26,FAC0127,3,0,33,20,0,9,7
2024-07-27,FAC0056,4,1,13,15,0,8,10
2024-10-12,FAC0201,0,4,56,9,1,4,11
2024-02-04,FAC0067,4,2,13,14,0,5,18
2024-03-23,FAC0126,1,2,20,17,1,7,19
2024-09-27,FAC0224,0,1,10,2,0,5,16
2024-11-20,FAC0069,2,1,8,6,1,5,7
2024-07-05,FAC0228,1,2,20,4,1,9,18
2023-04-26,FAC0225,3,2,24,6,0,5,16
2024-05-05,FAC0189,0,0,8,6,0,5,14
2024-05-27,FAC0201,9,0,32,33,1,5,11
2024-04-26,FAC0091,3,1,28,10,0,4,14
2024-11-04,FAC0196,2,1,26,3,0,5,12
2023-12-17,FAC0124,17,22,176,84,4,3,15
2024-02-03,FAC0189,1,1,11,3,0,4,13
2023-12-11,FAC0076,1,3,35,2,1,9,14
2023-03-17,FAC0246,4,7,41,18,1,2,11
2024-07-07,FAC0217,6,8,29,66,0,7,20
2023-12-04,FAC0163,1,3,17,12,0,5,13
2023-12-04,FAC0085,1,0,3,5,1,5,11
2024-06-11,FAC0025,2,0,10,16,1,2,20
2024-09-26,FAC0125,0,0,15,8,0,7,12
2024-11-20,FAC0273,0,0,29,2,2,5,6
2023-01-06,FAC0218,1,1,4,7,0,7,19
2023-10-11,FAC0283,3,2,21,18,0,6,13
2023-08-07,FAC0203,12,1,69,29,3,9,15
2023-05-03,FAC0134,3,0,9,14,0,1,7
2024-04-04,FAC0262,2,1,20,2,1,5,13
2024-08-07,FAC0225,2,3,16,14,2,6,16
2023-08-09,FAC0147,1,3,22,19,4,3,10
2023-11-25,FAC0215,4,3,34,6,1,6,16
2024-03-19,FAC0172,6,2,13,30,1,4,11
2023-08-05,FAC0076,0,1,15,22,1,9,15
2023-12-31,FAC0214,1,1,17,2,2,5,10
2024-06-25,FAC0244,0,1,6,5,0,4,9
2023-10-26,FAC0083,3,1,18,3,1,6,7
2024-11-15,FAC0293,0,1,15,9,1,6,23
2023-01-04,FAC0028,3,4,33,13,0,7,15
2024-08-09,FAC0031,38,33,156,235,1,2,13
2023-10-28,FAC0282,5,2,16,19,2,3,11
2024-07-26,FAC0148,1,1,4,7,0,5,8
2024-02-03,FAC0005,2,0,6,10,0,7,15
2024-07-19,FAC0002,3,2,31,11,0,2,7
2023-09-30,FAC0087,2,0,11,6,0,7,10
2023-10-06,FAC0222,1,5,50,9,1,4,13
2024-02-19,FAC0021,1,0,12,7,1,6,18
2023-09-21,FAC0291,0,3,36,2,1,5,17
2023-06-28,FAC0085,0,1,5,3,0,3,10
2024-06-25,FAC0099,5,5,55,4,3,7,4
2023-09-14,FAC0179,5,3,38,5,1,7,11
2023-12-17,FAC0101,0,2,30,13,2,2,8
2024-07-04,FAC0103,5,5,24,35,1,3,10
2024-08-31,FAC0049,2,0,81,8,1,8,11
2024-07-25,FAC0179,5,4,39,4,1,9,7
2023-08-08,FAC0138,1,0,8,1,1,6,12
2024-03-20,FAC0100,10,31,180,96,4,5,19
2024-09-28,FAC0210,5,6,37,13,1,5,8
2023-02-26,FAC0007,2,4,39,9,0,5,16
2023-09-17,FAC0213,4,0,14,13,0,5,15
2023-06-30,FAC0289,2,0,42,4,0,3,8
2023-03-07,FAC0300,2,1,14,10,0,2,13
2024-09-05,FAC0164,0,1,11,3,1,4,15
2024-08-03,FAC0170,7,3,180,56,3,8,12
2024-05-17,FAC0276,3,1,14,19,1,3,8
2023-08-10,FAC0216,0,0,6,5,0,8,7
2024-10-18,FAC0161,0,1,6,5,0,5,15
2024-01-07,FAC0127,0,5,39,14,0,5,11
2024-02-11,FAC0047,0,0,4,2,0,3,9
2024-01-01,FAC0102,1,0,12,1,0,4,17
2024-03-17,FAC0172,6,5,38,5,2,3,13
2023-04-02,FAC0012,0,1,4,6,1,4,12
2023-11-11,FAC0222,4,4,25,34,2,6,14
2023-05-08,FAC0125,0,1,8,15,2,8,15
2023-08-31,FAC0199,1,0,19,12,0,3,25
2024-05-20,FAC0269,1,1,14,10,0,7,8
2023-12-12,FAC0228,2,1,19,5,1,7,12
2023-01-06,FAC0144,0,1,18,10,0,4,11
2024-04-30,FAC0273,0,2,20,11,0,3,4
2023-05-24,FAC0195,1,0,10,4,0,4,8
2024-02-09,FAC0090,3,1,18,12,1,5,8
2023-07-31,FAC0077,1,0,3,7,1,7,13
2024-03-10,FAC0083,2,2,9,12,2,8,8
2024-01-19,FAC0106,2,2,22,18,1,5,7
2023-12-18,FAC0266,14,1,86,10,1,5,12
2023-07-06,FAC0075,0,1,11,1,0,10,11
2023-11-24,FAC0063,3,1,22,10,0,3,14
2023-01-23,FAC0138,0,0,6,3,0,3,16
2023-11-25,FAC0263,0,1,18,22,2,5,8
2024-10-31,FAC0226,3,5,23,22,0,3,8
2024-06-15,FAC0233,1,1,7,1,0,5,17
2024-06-23,FAC0190,7,9,55,26,2,6,11
2023-11-27,FAC0231,1,0,6,5,0,1,12
2024-01-10,FAC0198,2,1,8,10,0,7,14
2023-12-21,FAC0091,2,0,19,19,0,7,13
2024-09-18,FAC0295,0,0,6,8,1,4,11
2024-01-03,FAC0034,0,0,9,1,0,7,9
2024-05-22,FAC0248,5,5,39,28,2,8,5
2024-02-24,FAC0043,0,4,36,13,0,10,10
2023-04-15,FAC0140,0,0,16,16,0,7,18
2024-08-27,FAC0068,0,2,16,11,0,5,12
2023-02-28,FAC0036,2,1,13,3,1,5,7
2023-05-04,FAC0130,2,0,19,5,1,6,17
2023-05-10,FAC0118,5,3,26,12,0,2,14
2024-08-03,FAC0233,0,1,7,1,1,10,18
2023-03-14,FAC0069,1,1,7,7,1,4,12
2024-07-26,FAC0033,9,3,45,17,1,5,17
2023-03-05,FAC0028,2,5,28,18,0,6,17
2023-08-03,FAC0234,1,0,3,8,1,2,6
2024-07-13,FAC0205,3,5,27,55,0,7,15
2023-06-07,FAC0157,1,2,22,8,0,4,12
2024-09-28,FAC0175,2,0,16,22,0,4,9
2023-06-26,FAC0274,1,5,61,31,1,3,16
2024-09-03,FAC0168,0,3,60,42,7,3,20
2024-06-27,FAC0215,3,4,27,13,3,5,17
2024-04-12,FAC0149,0,0,10,2,1,4,21
2024-09-23,FAC0209,0,1,15,10,1,3,15
2023-08-19,FAC0252,0,5,82,14,1,6,12
2023-02-26,FAC0058,1,1,11,4,1,4,9
2024-01-15,FAC0200,2,3,21,8,2,5,20
2023-12-09,FAC0056,2,1,16,12,0,8,9
2023-12-27,FAC0286,0,2,13,5,0,1,11
2023-03-15,FAC0022,0,2,12,6,0,3,12
2024-10-09,FAC0196,2,2,20,9,0,6,13
2023-10-18,FAC0214,1,2,11,8,2,3,10
2024-03-09,FAC0112,2,0,19,4,1,2,15
2023-05-30,FAC0193,3,2,14,10,0,10,10
2023-03-31,FAC0252,14,1,47,49,2,4,16
2023-11-18,FAC0268,1,1,39,4,1,2,10
2024-05-24,FAC0257,3,1,17,6,1,2,17
2024-01-05,FAC0248,8,8,36,31,0,7,4
2024-01-19,FAC0020,2,0,6,14,0,3,8
2024-01-21,FAC0134,3,1,21,2,0,2,8
2024-09-04,FAC0257,2,0,18,5,0,2,13
2023-05-13,FAC0060,1,11,57,71,1,9,8
2024-09-12,FAC0036,2,1,6,10,0,5,6
2023-08-24,FAC0182,1,0,9,16,1,7,15
2023-11-10,FAC0044,1,2,33,3,1,6,22
2023-12-22,FAC0092,50,2,316,26,3,3,9
2023-03-15,FAC0073,0,0,5,3,0,5,11
2024-03-14,FAC0278,12,10,74,83,1,4,18
2024-12-16,FAC0281,48,46,422,52,6,3,14
2023-08-09,FAC0089,0,7,54,7,0,6,7
2024-04-24,FAC0086,20,29,240,75,3,2,10
2024-03-08,FAC0275,2,2,11,18,1,5,9
2024-06-29,FAC0288,3,0,15,8,1,5,8
2023-06-09,FAC0257,2,0,7,16,0,4,18
2023-05-20,FAC0152,23,19,161,114,6,6,10
2024-08-04,FAC0068,0,0,18,9,1,6,11
2023-03-30,FAC0141,4,5,21,28,1,5,15
2024-09-28,FAC0059,1,3,22,14,2,6,8
2024-09-28,FAC0048,0,0,29,12,1,8,15
2024-09-07,FAC0160,5,4,19,17,1,5,9
2024-10-19,FAC0138,0,0,6,3,0,4,9
2024-10-16,FAC0120,10,5,51,63,5,2,9
2024-06-30,FAC0256,3,0,13,15,1,7,10
2024-03-18,FAC0142,10,19,205,154,8,2,17
2023-04-20,FAC0040,2,0,4,12,0,3,7
2024-02-09,FAC0035,2,0,11,11,0,4,13
2024-08-14,FAC0254,2,1,9,7,0,4,7
2024-02-22,FAC0079,2,1,14,3,1,5,15
2024-12-01,FAC0039,0,0,19,11,1,3,11
2024-10-10,FAC0105,2,0,19,11,2,5,25
2024-06-02,FAC0263,2,0,34,6,1,3,15
2023-05-23,FAC0143,14,8,89,5,0,5,16
2024-09-22,FAC0181,7,1,30,17,1,6,10
2024-02-26,FAC0126,0,4,31,6,1,6,24
2023-04-19,FAC0132,2,2,14,15,1,3,5
2024-02-14,FAC0092,49,39,298,44,2,6,7
2023-09-24,FAC0297,0,1,8,13,1,5,11
2024-07-03,FAC0020,2,2,7,13,0,4,10
2023-03-09,FAC0263,4,3,20,20,2,3,12
2024-02-13,FAC0261,2,1,24,11,4,3,15
2024-03-27,FAC0260,3,4,23,21,0,5,12
2024-04-08,FAC0122,0,1,13,2,1,3,16
2024-02-13,FAC0272,3,0,8,14,1,8,10
2023-07-28,FAC0299,2,1,13,16,1,7,16
2023-01-18,FAC0242,1,1,9,6,2,3,10
2023-05-03,FAC0095,2,1,28,12,2,3,15
2024-01-20,FAC0184,4,2,33,3,0,6,12
2024-11-28,FAC0009,0,2,22,8,0,4,12
2023-10-03,FAC0204,1,0,4,2,1,4,22
2023-09-10,FAC0051,70,11,351,129,9,7,10
2024-09-14,FAC0049,5,9,66,23,1,8,7
2023-01-03,FAC0068,3,1,8,19,1,4,7
2024-03-07,FAC0236,4,3,12,16,0,1,13
2023-01-02,FAC0196,2,2,19,10,1,7,11
2023-01-19,FAC0275,4,2,9,20,1,7,13
2024-07-23,FAC0142,18,36,231,128,3,2,9
2024-05-12,FAC0209,3,0,22,3,0,4,16
2023-10-21,FAC0074,0,1,7,1,1,3,7
2024-12-10,FAC0129,6,3,19,21,2,6,13
2023-06-08,FAC0293,2,1,15,9,1,6,16
2024-09-03,FAC0113,0,1,9,4,1,7,17
2024-05-14,FAC0027,40,4,187,167,0,6,12
2024-03-02,FAC0175,1,2,18,20,2,4,12
2024-05-26,FAC0188,29,17,200,108,5,1,14
2024-05-25,FAC0111,3,3,22,14,1,2,18
2024-08-17,FAC0167,5,2,32,32,1,1,10
2024-12-10,FAC0141,1,4,42,7,2,5,11
2023-10-27,FAC0021,0,2,14,5,0,6,13
2024-07-27,FAC0235,3,3,13,18,0,7,9
2023-02-01,FAC0051,15,30,303,177,5,6,13
2024-01-17,FAC0206,3,2,12,13,0,7,8
2023-04-16,FAC0011,0,0,6,13,1,6,8
2024-11-20,FAC0216,1,0,5,6,0,5,10
2024-02-01,FAC0300,3,0,13,11,0,4,16
2024-11-25,FAC0249,2,2,26,4,1,3,19
2024-11-09,FAC0244,1,0,3,8,1,7,14
2024-02-24,FAC0175,2,4,19,19,2,3,14
2023-08-22,FAC0292,2,2,19,4,0,7,9
2024-04-01,FAC0128,1,5,47,10,3,12,11
2023-11-20,FAC0029,0,1,11,8,1,3,18
2024-10-31,FAC0002,3,1,21,21,0,4,9
2024-11-19,FAC0025,2,3,11,15,0,3,27
2023-11-09,FAC0033,0,7,43,19,0,4,15
2024-04-20,FAC0194,6,4,28,19,2,5,18
2023-10-10,FAC0015,11,12,141,31,5,8,8
2024-12-14,FAC0003,3,1,14,6,1,4,11
2024-01-07,FAC0114,2,0,22,14,0,3,13
2024-02-16,FAC0253,0,1,11,25,2,1,10
2023-12-22,FAC0137,0,1,18,3,1,4,7
2023-08-09,FAC0131,6,1,25,16,2,4,8
2023-10-30,FAC0037,0,19,73,98,1,8,19
2024-04-21,FAC0193,0,0,16,8,1,5,8
2023-07-29,FAC0167,4,0,41,23,0,1,6
2023-01-03,FAC0156,15,2,61,39,1,6,5
2024-03-26,FAC0234,1,1,6,5,2,2,5
2023-06-27,FAC0113,0,0,11,2,0,7,18
2023-10-19,FAC0054,57,47,205,283,7,6,16
2023-10-19,FAC0019,3,1,10,21,1,7,8
2023-12-28,FAC0253,1,1,14,22,2,2,12
2024-01-07,FAC0228,1,2,19,5,1,8,16
2024-07-15,FAC0174,14,18,126,26,1,1,5
2023-05-30,FAC0180,5,14,119,59,4,3,13
2023-06-19,FAC0257,2,2,21,2,1,3,18
